,player_id,name,date_of_birth,clubs,fuzz_score,fifa_index
0,38790,dmitri golubov,1985-06-24,[28095],,[]
1,106539,aleksandr vasiljev,1992-01-23,[28095],43.0,1796
2,164389,rory donnelly,1992-02-18,[2288],45.0,11316
3,45247,damien perquis,1986-03-08,[1162],100.0,7722
4,97205,nikita bezlikhotnov,1990-08-19,[28095],44.0,[1949 3579]
5,14962,jesper bech,1982-05-25,[1177],26.0,8794
6,202836,yaffa yusupha,1996-12-31,[24],38.0,8693
7,40027,ruben nygaard,1986-05-25,[5818],26.0,2803
8,62065,dennis hoegh,1989-02-21,[5818],36.0,1020
9,203899,stijn derkx,1995-02-03,[403],37.0,[ 7180 14251]
10,48897,ade runsewe,1989-12-01,[1177],33.0,8981
11,23367,alessio sestu,1983-09-29,[ 19 862],23.0,6732
12,107958,nicola bellomo,1991-02-18,[862],35.0,7353
13,103110,frederik hammershoj,1987-06-15,[5818],41.0,7759
14,45185,tomasz kupisz,1990-01-02,[862],28.0,15369
15,334723,nicolas napol,1996-04-03,[800],36.0,6630
16,176130,lorenzo rosseti,1994-08-05,[800],100.0,8204
17,47769,bjarni vidarsson,1988-03-05,[1177],50.0,7048
18,20726,rolando bianchi,1983-02-15,[800],42.0,13218
19,287631,pierluigi cappelluzzo,1996-06-09,[276],100.0,13455
20,16117,nicola pozzi,1986-06-30,[130 862],,[]
21,7499,lionel scaloni,1978-05-16,[800],,[]
22,88542,ruben botta,1990-01-31,[ 46 862],100.0,2435
23,20913,giuseppe biava,1977-05-08,[800],,[]
24,7102,giorgio frezzolini,1976-01-21,[800],,[]
25,22185,vlada avramov,1979-04-05,[800],,[]
26,76902,fernandinho,1985-11-25,[276],39.0,3369
27,291278,davide merelli,1996-03-04,[800],36.0,1981
28,7611,javier saviola,1981-12-11,[276 683],,[]
29,73048,ivan martic,1990-10-02,[276],100.0,4967
30,17171,alessandro agostini,1979-07-23,[276],,[]
31,299944,alimeyaw salifu,1995-08-20,[276],34.0,5605
32,55472,rafael marques,1983-09-21,[276],,[]
33,37633,guillermo rodriguez,1984-03-21,[276],39.0,14109
34,337135,alessandro salvetti,1997-04-05,[276],37.0,8418
35,5976,roberto guana,1981-01-21,[862],,[]
36,287686,filippo boni,1995-06-29,[276],27.0,7204
37,34909,simone bentivoglio,1985-05-29,[ 19 862],36.0,1014
38,238953,lorenzo ferrari,1996-03-09,[276],44.0,9436
39,173860,myles anderson,1990-01-09,[862],31.0,2414
40,245092,grega sorcan,1996-03-05,[862],42.0,15454
41,29208,davide succi,1981-10-11,[1429],,[]
42,160188,marcao,1992-03-06,[862],29.0,5150
43,28851,manuel coppola,1982-05-11,[1429],,[]
44,29604,riccardo cazzola,1985-10-08,[1429],31.0,6787
45,200653,david forgacs,1995-09-29,[800],48.0,2542
46,8206,emmanuel cascione,1983-09-22,[1429],,[]
47,287688,janis cavagna,1995-03-12,[800],44.0,5256
48,70203,ze eduardo,1991-08-16,[1429],33.0,5002
49,314369,matteo gasperi,1997-07-17,[1429],31.0,15081
50,24305,giuseppe de feudis,1983-07-10,[1429],,[]
51,28817,gabriele perico,1984-03-11,[1429],45.0,7147
52,13749,gaby mudingayi,1981-10-01,[1429],,[]
53,221815,constantin nica,1993-03-18,[1429],38.0,12616
54,6012,stefano lucchini,1980-10-02,[1429],,[]
55,30332,daniele capelli,1986-06-20,[1429],43.0,2166
56,54921,massimo volta,1987-05-14,[1429],100.0,4899
