,player_id,name,fifa_index,name_compare
0,73048,ivan martic,7603,ivan martic
1,70203,ze eduardo,12284,jose eduardo de araujo
2,221815,constantin nica,15218,constantin nica
3,197830,josh sheehan,8961,joshua luke sheehan
4,89648,david cornell,13427,david cornell
5,108198,sebastian ernst,3487,sebastian ernst
6,110885,florian ballas,6783,florian ballas
7,193051,niklas teichgraber,12512,niklas teichgraber
8,332142,quentin lecoeuche,9117,quentin lecoeuche
9,53742,damian zbozien,11215,damian zbozien
10,82367,petar sliskovic,9919,petar sliskovic
11,93552,benedikt saller,6677,benedikt saller
12,153184,fabian kalig,10284,fabian kalig
13,153198,damian rossbach,9090,damian rossbach
14,203150,ignacio jeraldino,6899,ignacio alejandro jeraldino jul
15,136641,dimitrios diamantakos,5724,dimitrios diamantakos
16,54794,facundo parra,7761,facundo manuel parra
17,82550,juan sanchez sotelo,6646,juan ignacio sanchez sotelo
18,191850,kosmas gezos,12181,kosmas gkezos
19,74821,franco mussis,4921,franco gabriel mussis
20,127051,yann boe kane,11319,yann boe kane
21,263062,manuel balda,9599,faberth manuel balda rodriguez
22,119081,joris sainati,8704,joris sainati
23,52328,gonzalo bergessio,1489,gonzalo ruben bergessio
24,286293,edoardo masciangelo,13879,edoardo masciangelo
25,65929,matias rodriguez,5532,matias nicolas rodriguez
26,26460,fernando belluschi,3840,fernando daniel belluschi
27,123256,liviu antal,10010,liviu ion antal
28,76749,tabare viudez,4678,tabare uruguay viudez mora
29,222332,lasha dvali,6924,lasha dvali
30,52266,walter gargano,3137,walter alejandro gargano guevara
31,135082,rogelio funes mori,921,rogelio gabriel funes mori
32,109012,ivan runje,6655,ivan runje
33,24113,espen ruud,6411,espen ruud
34,121528,berkay dabanli,10083,berkay tolga dabanli
35,265545,mikkel maigaard,11416,mikkel maigaard jakobsen
36,149996,holmbert aron fridonsson,7884,holmbert aron fridonsson
37,222740,kieran sadlier,8937,kieran paul sadlier
38,90360,filip kiss,2610,filip kiss
39,255788,cameron burgess,7849,cameron robert burgess
40,139440,jose nunez,9456,jose ariel nunez portelli
41,49144,erik friberg,8768,john erik gunnar friberg
42,73323,jo inge berget,5510,jo inge berget
43,151334,george long,8849,george long
44,193078,zaine francis angol,13510,zaine sebastian francis angol
45,64104,sasa balic,8900,sasa balic
46,119569,clark robertson,7644,clark robertson
47,199522,donervon daniels,12398,donervon joseph daniels
48,42874,kyle letheren,14402,kyle charles letheren
49,249118,isak ssewankambo,10092,isak ssali ssewankambo
50,80708,tommy oar,8741,tommy oar
51,128905,josh mceachran,11180,joshua mark mceachran
52,221311,ivan sanchez,2608,ivan sanchez aguayo
53,82332,maikel kieftenbeld,6559,maikel kieftenbeld
54,104495,lyle taylor,5558,lyle james alfred taylor
55,55444,michael zullo,7541,michael zullo
56,237617,cristian herrera,6624,cristian ignacio herrera perez
57,111082,javier aquino,2534,javier ignacio aquino carmona
58,55135,cristian alvarez,2013,cristian dario alvarez
59,126722,edu campabadal,8840,eduard campabadal claros
60,63706,mikel saizar,9812,mikel saizar soroa
61,226005,franco fragapane,2632,franco rodrigo fragapane
62,142023,guillermo fernandez,8884,guillermo fernandez hierro
63,208715,fredy hinestroza,3395,fredy hinestroza arias
64,126748,israel puerto,7767,israel puerto pineda
65,147462,alexander callens,4088,alexander martin marquinho callens asin
66,242287,javi jimenez,5938,javier jimenez moreno
67,26153,alberto zapater,8678,alberto zapater arjol
68,248576,cameron dummigan,13562,cameron dummigan
69,58516,lucas barrios,4644,lucas ramon barrios caceres
70,65072,juan manuel insaurralde,2437,juan manuel insaurralde
71,39378,jozy altidore,3861,jozy altidore
72,184397,tom hopper,10009,thomas edward hopper
73,124845,grant hall,5673,grant hall
74,169633,bruno andrade,12371,bruno miguel carvalho andrade
75,264199,reece grego cox,15256,reece randall grego cox
76,362809,brandon comley,15236,brandon comley
77,175996,sebastian lletget,3272,sebastian francisco lletget
78,155233,michael harriman,12353,michael grant harriman
79,158718,max ehmer,12338,maximilian andreas ehmer
80,177892,graham burke,8716,graham dylan burke
81,49693,andreas weimann,4704,andreas weimann
82,121269,ryan watson,12337,ryan james watson
83,221687,alex gilliead,11332,alex nicholas gilliead
84,62052,shane ferguson,8773,shane kevin ferguson
85,168408,lubomir satka,5713,lubomir satka
86,207037,dan potts,7682,daniel potts
87,257534,emmanuel onariase,12562,osaore emmanuel onariase
88,43266,stephen quinn,11093,stephen jude quinn
89,62240,maynor figueroa,6440,maynor alexis figueroa rochez
90,344916,rory watson,15237,rory watson
91,67232,mark oxley,14408,mark thomas oxley
92,54576,sebastian blanco,901,sebastian marcelo blanco
93,141349,liam oneil,13481,liam christian james oneil
94,242434,courtney duffus,15983,courtney duffus
95,245585,reece james,7768,reece james
96,226964,dominic gape,7775,dominic edward gape
97,45921,luke daniels,6476,luke daniels
98,104219,enes sipovic,10267,enes sipovic
99,258884,ryan ledson,3471,ryan ledson
100,242412,gethin jones,11405,gethin wynne jones
101,234249,federico andrada,5706,federico oscar andrada
102,110852,waldemar sobota,8821,waldemar sobota
103,39475,sacha kljestan,5494,sacha kljestan
104,228326,shangyuan wang,9008,wang shang yuan 
105,61561,barry bannan,2487,barry ryan bannan
106,52585,james troisi,9837,james troisi
107,171408,gaetan courtet,5663,gaetan courtet
108,30758,dario cvitanich,3102,dario cvitanich
109,39914,mathieu coutadeur,6450,mathieu coutadeur
110,62013,anders konradsen,8731,anders agnes konradsen
111,286378,sacha bastien,16523,sacha charles julian guy bastien
112,203324,christophe vincent,11223,christophe vincent
113,169090,el hadi ba,10071,el hadi ba
114,43907,andre pierre gignac,287,andre pierre christian gignac
115,181376,wesley jobello,11238,wesley jobello
116,95182,dragos grigore,6665,dragos grigore
117,164915,lionel mpasi nzau,6856,lionel mpasi nzau
118,345225,steve shamal,15250,steve shamal
119,170905,florian david,9060,florian david
120,164904,mory diaw,4949,mory diaw
121,234787,lucas joao,2665,lucas eduardo dos santos joao
122,2453,mahir saglik,11062,mahir saglik
123,210088,gabriel,12471,gabriel rodrigues de moura
124,153022,nicolas blandi,12333,nicolas blandi
125,51069,stefan kutschke,7848,stefan kutschke
126,36080,miralem sulejmani,2474,miralem sulejmani
127,93571,florian hartherz,7669,florian hartherz
128,32845,moritz stoppelkamp,6417,moritz stoppelkamp
129,74621,jonathan urretaviscaya,3910,jonathan matias urretaviscaya da luz
130,48740,milos ninkovic,2048,milos ninkovic
131,195781,mirnes pepic,11338,mirnes pepic
132,119272,mario rondon,8774,mario junior rondon fernandez
133,224677,johnny vidales,10240,johnny victor vidales lature
134,94603,patrick bauer,3294,patrick bauer
135,179308,diego rubio,4798,diego ivan rubio kostner
136,93853,martin kobylanski,6619,martin kobylanski
137,150163,xizhe zhang,6835,zhang xi zhe 
138,93768,richard strebinger,3341,richard strebinger
139,45464,sercan sararer,6496,sercan sararer osuna
140,192266,tolcay cigerci,11407,tolcay cigerci
141,90317,daniel batz,7634,daniel batz
142,232376,lucas cueto,7933,lucas cueto
143,203532,naby sarr,6713,mouhamadou naby sarr
144,47594,zlatan alomerovic,7731,zlatan alomerovic
145,45685,marc hornschuh,12296,marc hornschuh
146,153664,khaled narey,5903,khaled narey
147,248105,jonatan alvez,7940,jonatan daniel alvez sagar
148,160670,joseph claude gyau,6652,joseph claude agyeman gyau
149,82008,phillipp steinhart,5674,phillipp steinhart
150,125105,patrick weihrauch,8935,patrick weihrauch
151,335191,valeriane gvilia,8306,valerian gvilia
152,153634,marcel hilssner,12601,marcel hilssner
153,42072,tobias kempe,3968,tobias kempe
154,301235,giacomo calo,11909,giacomo calo
155,312773,daniele sommariva,13602,daniele sommariva
156,37788,philipp hosiner,7699,philipp hosiner
157,109436,oliver husing,3467,oliver husing
158,76329,marcelo estigarribia,2505,marcelo alejandro estigarribia balmori
159,30687,maxi moralez,1516,maximiliano nicol moralez
160,125251,ivan piris,1625,ivan rodrigo piris leguizamon
