,player_id,name,clubs,fifa_index,name_compare,fifa_clubs,sofifa_id
0,176130,lorenzo rosseti,['atalanta-bergamo'],8204,lorenzo valerio rosseti,Ascoli,219938
1,287631,pierluigi cappelluzzo,['hellas-verona'],13455,pierluigi cappelluzzo,Hellas Verona,221987
2,88542,ruben botta,"['inter-mailand', 'chievo-verona']",2435,ruben alejandro botta montero,San Lorenzo de Almagro,215199
3,73048,ivan martic,['hellas-verona'],4967,ivan martic,Universitatea Craiova,193505
4,37633,guillermo rodriguez,['hellas-verona'],11619,jose guillermo rodriguez,Houston Dynamo,226220
5,54921,massimo volta,['cesena-fc'],4899,massimo volta,Benevento,185120
6,108198,sebastian ernst,['hannover-96'],9391,sebastian ernst,SpVgg Greuther Furth,223652
7,110885,florian ballas,['hannover-96'],5264,florian ballas,SG Dynamo Dresden,216284
8,332142,quentin lecoeuche,['rc-lens'],8316,quentin lecoeuche,FC Lorient,225927
9,322351,abdoul ba,['rc-lens'],8296,abdoul bocar ba,AJ Auxerre,225050
10,77745,lalaina nomenjanahary,['rc-lens'],4213,lalaina henintsoa nomenjanahary,Paris FC,193376
11,57208,felipe saad,['sm-caen'],7745,felipe patavino saad,Paris FC,152870
12,15125,kasper jensen,['silkeborg-if'],8238,kasper fisker jensen,Brondby IF,221924
14,53742,damian zbozien,['amkar-perm'],6993,damian zbozien,Arka Gdynia,204920
15,153735,marko simonovski,['amkar-perm'],10509,marko simonovski,Sepsi OSK Sf. Gheorghe,225063
17,74306,andre alves,['panetolikos-gfs'],4832,andre filipe alves monteiro,Santa Clara,169941
19,95730,borja sanchez,['aok-kerkyra'],8644,borja sanchez laborde,Real Oviedo,241117
23,87463,marcelo larrondo,['fc-turin'],4898,marcelo alejandro larrondo paez,Union La Calera,184982
24,76598,matias cabrera,"['gd-estoril-praia', 'cagliari-calcio']",4418,matias julio cabrera acevedo,Deportivo Cali,213113
25,63899,josef husbauer,['cagliari-calcio'],2235,josef husbauer,SK Slavia Praha,189600
26,240365,michele somma,"['as-rom', 'fc-empoli']",4531,michele somma,Deportivo de La Coruna,225034
27,99923,simone benedetti,['cagliari-calcio'],6903,simone benedetti,Pisa,198953
28,177321,abdul razak,['ofi-kreta'],12395,abdul razak,IK Sirius,202721
30,44294,romano perticone,['fc-empoli'],7775,romano perticone,US Salernitana 1919,171721
31,82367,petar sliskovic,['1-fsv-mainz-05'],11285,petar sliskovic,MSV Duisburg,198195
32,93552,benedikt saller,['1-fsv-mainz-05'],6048,benedikt saller,SSV Jahn Regensburg,210004
33,98101,marko vesovic,['fc-turin'],6154,marko vesovic,Legia Warszawa,215720
34,10254,daniel fernandes,['panthrakikos-komotini'],2397,daniel heuer fernandes,Hamburger SV,212197
35,136641,dimitrios diamantakos,['olympiakos-piraus'],6052,dimitrios diamantakos,FC St. Pauli,210380
36,33448,cristian rodriguez,"['atletico-madrid', 'parma-calcio-1913']",10978,cristian rodriguez perez,Extremadura UD,245986
38,88057,gonzalo bustamante,['apo-levadiakos'],6677,luis gonzalo bustamante,Curico Unido,158790
40,90118,soufiane bidaoui,['parma-calcio-1913'],8960,soufiane bidaoui,Spezia,192365
41,74821,franco mussis,"['genua-cfc', 'fc-kopenhagen']",4470,franco gabriel mussis,Gimnasia y Esgrima La Plata,216706
42,127051,yann boe kane,['gs-ergotelis'],8157,yann boe kane,Le Mans FC,215786
44,263062,manuel balda,['panthrakikos-komotini'],6625,faberth manuel balda rodriguez,Club Atlas,251240
45,119081,joris sainati,['gs-ergotelis'],6745,joris sainati,FC Lorient,179725
48,112624,joao vitor,['gaziantepspor'],9841,joao vitor lopes da silva,Santa Clara,244418
49,204404,mahmut ozen,['kayseri-erciyesspor'],16040,mahmut ozen,Falkenbergs FF,207820
53,26460,fernando belluschi,['bursaspor'],2134,fernando daniel belluschi,San Lorenzo de Almagro,143587
54,54557,matias fritzler,['kasimpasa'],1664,matias lionel fritzler,Club Atletico Colon,172113
55,287307,alessandro mastalli,['ac-mailand'],10398,alessandro mastalli,Castellammare di Stabia,220670
56,87493,diego novaretti,['lazio-rom'],5851,diego martin novaretti,Rosario Central,193510
58,135082,rogelio funes mori,['eskisehirspor'],1080,rogelio gabriel funes mori,CF Monterrey,198140
59,109012,ivan runje,['fc-nordsjaelland'],4357,ivan runje,Jagiellonia Bialystok,208099
60,167800,mikkel jensen,['fc-nordsjaelland'],4653,mikkel rygaard jensen,FC Nordsjaelland,234488
61,24404,johan sellberg wiland,['fc-kopenhagen'],4050,johan wiland,Hammarby IF,32740
62,24113,espen ruud,['odense-boldklub'],5685,espen ruud,Odds BK,148696
63,15961,rurik gislason,['fc-kopenhagen'],5732,rurik gislason,SV Sandhausen,173667
64,20844,henrik hansen,['sonderjyske'],11443,hendrik hansen,FC Wurzburger Kickers,212251
65,52312,sebastian giovinco,['juventus-turin'],354,sebastian giovinco,Al Hilal,184431
66,34652,jaroslaw fojut,['dundee-united-fc'],7768,jaroslaw fojut,Wisla Plock,169509
67,24501,radoslaw cierzniak,['dundee-united-fc'],7756,radoslaw cierzniak,Legia Warszawa,162265
68,222740,kieran sadlier,['st-mirren-fc'],9170,kieran paul sadlier,Doncaster Rovers,210046
69,92548,james dayton,['st-mirren-fc'],13267,james dayton,Leyton Orient,184042
70,73720,viktor genev,['st-mirren-fc'],13346,viktor genev,ZZZZZ,204642
71,129074,jake jervis,['ross-county-fc'],10134,jake jervis,Luton Town,198269
72,312531,emmanuel sonupe,['st-mirren-fc'],14897,emmanuel olukolade sonupe,Stevenage,225365
73,90360,filip kiss,['ross-county-fc'],5104,filip kiss,Ettifaq FC,205073
74,139440,jose nunez,['brondby-if'],12098,jose manuel nunez martin,Union Deportiva Almeria,245497
75,4276,carlos tevez,['juventus-turin'],756,carlos alberto tevez,Boca Juniors,143001
