,game_id,H_GK,H_GK_overall,H_GK_potential,H_attack,H_ATK_overall,H_ATK_potential,H_defense,H_DEF_overall,H_DEF_potential,H_midfield,H_MF_overall,H_MF_potential,A_GK,A_GK_overall,A_GK_potential,A_attack,A_ATK_overall,A_ATK_potential,A_defense,A_DEF_overall,A_DEF_potential,A_midfield,A_MF_overall,A_MF_potential,Home_result
0,2457642,1.0,70.0,70.0,0.5557,63.53,73.44,4.0,65.75,68.0,5.445,69.2,74.75,1.0,77.0,77.0,3.0,71.0,82.44,4.434,72.1,76.0,2.566,75.2,78.8,1
1,2458528,1.0,73.0,77.0,3.0,75.94,77.6,4.188,75.7,76.44,2.822,74.94,80.7,1.0,68.1,72.8,2.066,79.75,79.8,3.0,76.0,78.0,4.934,73.6,76.2,2
2,2458586,1.0,80.0,83.0,1.545,77.3,81.94,4.0,76.9,80.9,4.457,81.06,83.3,1.0,79.0,79.0,1.722,81.5,83.4,4.945,76.9,79.56,3.332,81.7,84.2,3
3,2459586,1.0,70.0,70.0,1.211,66.06,73.25,4.0,65.75,67.0,4.79,68.1,74.0,1.0,75.0,77.0,0.656,67.0,70.0,5.344,66.56,69.2,4.0,69.7,74.06,2
4,2459587,1.0,71.0,75.0,2.0,66.0,71.3,4.832,65.56,72.5,3.166,69.44,74.6,1.0,63.0,66.0,3.0,63.75,69.56,4.0,63.75,69.0,3.012,67.94,74.94,-1
5,2459588,1.0,66.0,69.0,2.21,65.0,66.44,3.0,65.3,68.3,4.8,65.3,69.44,1.0,69.0,74.0,4.0,70.25,77.56,4.4,68.06,71.2,1.6,71.7,80.7,0
6,2459589,1.0,70.0,70.0,3.0,68.5,74.1,3.0,64.7,66.3,4.0,65.94,71.2,1.0,63.0,66.0,3.0,65.2,70.4,4.0,62.5,68.75,3.0,63.9,65.94,0
7,2459590,1.0,65.0,67.0,1.467,68.06,71.06,4.766,65.94,69.5,3.766,66.94,71.7,1.0,73.0,75.0,2.943,68.8,76.06,4.055,69.2,71.5,3.0,71.7,76.3,-3
8,2459591,1.0,60.0,65.0,2.455,68.0,71.06,3.578,65.3,68.44,3.422,67.3,70.2,1.0,71.0,75.0,2.256,69.9,75.75,4.0,71.75,76.25,3.744,73.56,79.44,-1
9,2459592,1.0,64.0,68.0,3.79,65.56,69.94,4.0,63.0,68.5,2.21,67.7,72.94,1.0,68.0,73.0,3.256,68.2,70.8,3.033,69.0,70.5,3.71,67.94,70.4,-1
10,2459593,1.0,77.0,77.0,1.767,71.4,82.8,5.344,72.44,76.25,2.889,75.0,78.56,1.0,75.0,77.0,2.0,70.9,77.94,5.0,69.75,72.94,3.0,73.3,77.7,3
11,2459594,0.989,65.2,71.0,2.734,67.06,71.8,5.0,64.4,68.0,2.1,63.44,67.44,1.0,77.0,83.0,3.0,75.25,83.25,3.0,68.7,74.7,4.0,72.9,80.3,-2
12,2459595,1.0,71.0,75.0,2.156,69.0,73.9,4.0,71.75,76.25,3.844,72.7,78.0,1.0,71.0,75.0,1.789,65.8,73.4,4.29,65.9,73.94,3.59,69.8,74.6,0
13,2459596,1.0,77.0,83.0,3.0,75.3,83.7,3.81,71.06,78.4,3.19,73.94,80.56,1.0,70.0,70.0,2.766,67.8,73.3,3.0,65.3,67.0,4.234,65.9,71.0,5
14,2459597,1.0,63.0,66.0,3.0,64.1,69.7,4.0,63.75,69.0,3.0,68.0,75.0,1.0,70.0,70.0,1.378,69.2,74.9,3.988,65.44,66.8,4.523,68.3,73.6,-1
