,player_id,name,date_of_birth,clubs,fuzz_score,fifa_index
0,38790,dmitri golubov,1985-06-24,[28095],,[]
1,106539,aleksandr vasiljev,1992-01-23,[28095],43.0,1588
2,164389,rory donnelly,1992-02-18,[2288],45.0,8852
3,45247,damien perquis,1986-03-08,[1162],41.0,8722
4,97205,nikita bezlikhotnov,1990-08-19,[28095],44.0,[2167 4036]
5,14962,jesper bech,1982-05-25,[1177],,[]
6,202836,yaffa yusupha,1996-12-31,[24],38.0,7239
7,40027,ruben nygaard,1986-05-25,[5818],26.0,900
8,62065,dennis hoegh,1989-02-21,[5818],36.0,1493
9,203899,stijn derkx,1995-02-03,[403],43.0,10208
10,48897,ade runsewe,1989-12-01,[1177],33.0,3949
11,23367,alessio sestu,1983-09-29,[ 19 862],39.0,7483
12,107958,nicola bellomo,1991-02-18,[862],31.0,14648
13,103110,frederik hammershoj,1987-06-15,[5818],41.0,12251
14,45185,tomasz kupisz,1990-01-02,[862],25.0,2754
15,334723,nicolas napol,1996-04-03,[800],36.0,7319
16,176130,lorenzo rosseti,1994-08-05,[800],42.0,2716
17,47769,bjarni vidarsson,1988-03-05,[1177],41.0,8680
18,20726,rolando bianchi,1983-02-15,[800],,[]
19,287631,pierluigi cappelluzzo,1996-06-09,[276],34.0,9205
20,16117,nicola pozzi,1986-06-30,[130 862],,[]
21,7499,lionel scaloni,1978-05-16,[800],,[]
22,88542,ruben botta,1990-01-31,[ 46 862],35.0,3493
23,20913,giuseppe biava,1977-05-08,[800],,[]
24,7102,giorgio frezzolini,1976-01-21,[800],,[]
25,22185,vlada avramov,1979-04-05,[800],,[]
26,76902,fernandinho,1985-11-25,[276],39.0,1987
27,291278,davide merelli,1996-03-04,[800],36.0,3486
28,7611,javier saviola,1981-12-11,[276 683],,[]
29,73048,ivan martic,1990-10-02,[276],100.0,7603
30,17171,alessandro agostini,1979-07-23,[276],,[]
31,299944,alimeyaw salifu,1995-08-20,[276],34.0,3738
32,55472,rafael marques,1983-09-21,[276],,[]
33,37633,guillermo rodriguez,1984-03-21,[276],,[]
34,337135,alessandro salvetti,1997-04-05,[276],40.0,9161
35,5976,roberto guana,1981-01-21,[862],,[]
36,287686,filippo boni,1995-06-29,[276],33.0,14317
37,34909,simone bentivoglio,1985-05-29,[ 19 862],36.0,1486
38,238953,lorenzo ferrari,1996-03-09,[276],38.0,10709
39,173860,myles anderson,1990-01-09,[862],31.0,4121
40,245092,grega sorcan,1996-03-05,[862],39.0,5908
41,29208,davide succi,1981-10-11,[1429],,[]
42,160188,marcao,1992-03-06,[862],,[]
43,28851,manuel coppola,1982-05-11,[1429],,[]
44,29604,riccardo cazzola,1985-10-08,[1429],,[]
45,200653,david forgacs,1995-09-29,[800],48.0,2241
46,8206,emmanuel cascione,1983-09-22,[1429],,[]
47,287688,janis cavagna,1995-03-12,[800],44.0,10107
48,70203,ze eduardo,1991-08-16,[1429],82.0,12284
49,314369,matteo gasperi,1997-07-17,[1429],30.0,3766
50,24305,giuseppe de feudis,1983-07-10,[1429],,[]
51,28817,gabriele perico,1984-03-11,[1429],,[]
52,13749,gaby mudingayi,1981-10-01,[1429],,[]
53,221815,constantin nica,1993-03-18,[1429],100.0,15218
