,0
0,2
1,3
2,6
3,9
4,13
5,14
6,15
7,27
8,31
9,34
10,35
11,36
12,38
13,39
14,40
15,42
16,45
17,47
18,49
19,57
20,58
21,61
22,71
23,79
24,84
25,87
26,93
27,95
28,97
29,98
30,99
31,102
32,103
33,108
34,110
35,114
36,123
37,124
38,132
39,133
40,153
41,156
42,160
43,163
44,170
45,176
46,177
47,178
48,183
49,184
50,187
51,188
52,191
53,201
54,211
55,213
56,216
57,217
58,220
59,221
60,228
61,232
62,235
63,236
64,237
65,238
66,240
67,241
68,242
69,243
70,247
71,251
72,252
73,254
74,259
75,260
76,262
77,264
78,266
79,278
80,283
81,287
82,288
83,290
84,293
85,294
86,295
87,303
88,305
89,307
90,308
91,311
92,314
93,315
94,317
95,318
96,319
97,320
98,321
99,328
100,332
101,337
102,339
103,342
104,343
105,345
106,347
107,348
108,351
109,353
110,355
111,357
112,358
113,360
114,363
115,364
116,371
117,378
118,379
119,380
120,381
121,383
122,384
123,413
124,422
125,424
126,426
127,427
128,428
129,439
130,441
131,443
132,444
133,445
134,448
135,457
136,462
137,464
138,466
139,468
140,471
141,474
142,478
143,480
144,483
145,487
146,497
147,498
148,499
149,502
150,505
151,507
152,510
153,514
154,516
155,517
156,518
157,519
158,520
159,521
160,524
161,526
162,527
163,528
164,529
165,530
166,533
167,537
168,541
169,542
170,543
171,544
172,545
173,554
174,558
175,561
176,564
177,565
178,566
179,567
180,568
181,569
182,572
183,573
184,574
185,575
186,576
187,579
188,583
189,584
190,585
191,586
192,589
193,592
194,593
195,594
196,608
197,614
198,615
199,619
200,622
201,624
202,631
203,633
204,635
205,637
206,643
207,644
208,645
209,646
210,648
211,650
212,652
213,653
214,655
215,658
216,661
217,667
218,672
219,673
220,674
221,676
222,677
223,681
224,682
225,685
226,698
227,705
228,711
229,712
230,716
231,720
232,728
233,729
234,739
235,745
236,746
237,755
238,761
239,779
240,780
241,786
242,788
243,798
244,801
245,803
246,805
247,810
248,823
249,831
250,837
251,853
252,857
253,863
254,864
255,872
256,874
257,877
258,891
259,892
260,897
261,903
262,911
263,914
264,916
265,917
266,919
267,921
268,922
269,924
270,925
271,933
272,938
273,940
274,941
275,942
276,946
277,948
278,949
279,954
280,960
281,966
282,971
283,974
284,980
285,989
286,991
287,1005
288,1011
289,1012
290,1013
291,1019
292,1022
293,1026
294,1027
295,1030
296,1034
297,1036
298,1038
299,1040
300,1049
301,1053
302,1056
303,1057
304,1063
305,1064
306,1084
307,1093
308,1095
309,1098
310,1102
311,1105
312,1109
313,1114
314,1115
315,1121
316,1125
317,1126
318,1130
319,1133
320,1137
321,1139
322,1140
323,1143
324,1145
325,1149
326,1153
327,1155
328,1159
329,1160
330,1163
331,1167
332,1169
333,1170
334,1174
335,1175
336,1176
337,1177
338,1181
339,1190
340,1196
341,1198
342,1200
343,1205
344,1206
345,1207
346,1214
347,1215
348,1217
349,1218
350,1219
351,1222
352,1224
353,1226
354,1227
355,1230
356,1233
357,1234
358,1236
359,1237
360,1242
361,1243
362,1244
363,1245
364,1251
365,1253
366,1254
367,1257
368,1258
369,1261
370,1265
371,1269
372,1270
373,1271
374,1274
375,1276
376,1279
377,1281
378,1284
379,1285
380,1289
381,1290
382,1292
383,1293
384,1295
385,1299
386,1306
387,1307
388,1310
389,1314
390,1316
391,1320
392,1324
393,1330
394,1345
395,1350
396,1355
397,1356
398,1359
399,1367
400,1370
401,1372
402,1373
403,1385
404,1386
405,1387
406,1392
407,1395
408,1396
409,1399
410,1404
411,1406
412,1409
413,1410
414,1412
415,1413
416,1414
417,1416
418,1421
419,1426
420,1429
421,1431
422,1432
423,1433
424,1437
425,1439
426,1440
427,1441
428,1442
429,1445
430,1446
431,1449
432,1451
433,1452
434,1453
435,1454
436,1455
437,1457
438,1458
439,1459
440,1461
441,1462
442,1465
443,1466
444,1468
445,1469
446,1474
447,1476
448,1477
449,1480
450,1481
451,1484
452,1485
453,1490
454,1491
455,1497
456,1498
457,1501
458,1502
459,1506
460,1507
461,1508
462,1509
463,1511
464,1512
465,1513
466,1514
467,1516
468,1521
469,1524
470,1525
471,1526
472,1532
473,1533
474,1534
475,1535
476,1536
477,1538
478,1542
479,1544
480,1545
481,1546
482,1548
483,1550
484,1552
485,1557
486,1559
487,1560
488,1561
489,1565
490,1566
491,1573
492,1574
493,1575
494,1585
495,1589
496,1594
497,1597
498,1600
499,1601
500,1603
501,1604
502,1605
503,1608
504,1609
505,1616
506,1619
507,1638
508,1641
509,1647
510,1651
511,1662
512,1666
513,1687
514,1692
515,1697
516,1706
517,1707
518,1722
519,1726
520,1733
521,1738
522,1739
523,1740
524,1748
