club,club_id,number,name,short_name,DoB,poste,lequipe_id
Angers ,374,16,Anthony Mandrea,A. Mandrea,25/12/96,Gar.,50523
Angers ,374,30,Danijel Petkovic,D. Petkovic,25/05/93,Gar.,53178
Angers ,374,25,Abdoulaye Bamba,A. Bamba,25/04/90,Déf.,34789
Angers ,374,20,Kevin Boma,K. Boma,20/11/02,Déf.,77429
Angers ,374,,Elhadji Pape Diaw,E. Diaw,31/12/94,Déf.,71974
Angers ,374,3,Souleyman Doumbia,S. Doumbia,24/09/96,Déf.,53361
Angers ,374,,Ismaël Dramé,I. Dramé,27/05/01,Déf.,76808
Angers ,374,6,Enzo Ebosse,E. Ebosse,11/03/99,Déf.,58990
Angers ,374,29,Vincent Manceau,V. Manceau,10/07/89,Déf.,29773
Angers ,374,2,Batista Mendy,B. Mendy,12/01/00,Déf.,70155
Angers ,374,,Blondon Meyapya,B. Meyapya,10/02/01,Déf.,89927
Angers ,374,24,Romain Thomas,R. Thomas,12/06/88,Déf.,27254
Angers ,374,8,Ismaël Traoré,I. Traoré,18/08/86,Déf.,26892
Angers ,374,,Kevin Bemanga,K. Bemanga,20/04/98,Mil.,82632
Angers ,374,23,Nabil Bentaleb,N. Bentaleb,24/11/94,Mil.,50329
Angers ,374,7,Sofiane Boufal,S. Boufal,17/09/93,Mil.,46994
Angers ,374,14,Billal Brahimi,B. Brahimi,14/03/00,Mil.,76160
Angers ,374,11,Jimmy Cabot,J. Cabot,18/04/94,Mil.,48524
Angers ,374,15,Pierrick Capelle,P. Capelle,15/04/87,Mil.,37125
Angers ,374,21,Mohamed-Ali Cho,M. Cho,19/01/04,Mil.,82985
Angers ,374,,Matteo Corduan,M. Corduan,19/06/02,Mil.,94182
Angers ,374,10,Angelo Fulgini,A. Fulgini,20/08/96,Mil.,55834
Angers ,374,,Anthony Gomez Mancini,A. Gomez Mancini,06/04/01,Mil.,70752
Angers ,374,,Walim Lgharbi,W. Lgharbi,25/01/03,Mil.,88830
Angers ,374,5,Thomas Mangani,T. Mangani,29/04/87,Mil.,24586
Angers ,374,12,Zinédine Ould Khaled,Z. Ould Khaled,14/01/00,Mil.,76516
Angers ,374,18,Azzedine Ounahi,A. Ounahi,19/04/00,Mil.,76654
Angers ,374,27,Mathias Pereira Lage,M. Pereira Lage,30/11/96,Mil.,58974
Angers ,374,26,Waniss Taïbi,W. Taïbi,07/03/02,Mil.,76804
Angers ,374,19,Stéphane Bahoken,S. Bahoken,28/05/92,Att.,41347
Angers ,374,17,Noah Fatar,N. Fatar,15/02/02,Att.,76757
Angers ,374,,Jason Mbock,J. Mbock,01/11/99,Att.,66205
Angers ,374,,Guede Noah Nadje,G. Nadje,12/11/03,Att.,89928
Angers ,374,9,Casimir Rodrigue Ninga,C. Ninga,17/05/93,Att.,57815
Nantes ,15,,Lucas Bonelli,L. Bonelli,14/02/03,Gar.,91225
Nantes ,15,16,Rémy Descamps,R. Descamps,25/06/96,Gar.,50741
Nantes ,15,1,Alban Lafont,A. Lafont,23/01/99,Gar.,58416
Nantes ,15,30,Denis Petric,D. Petric,24/05/88,Gar.,26215
Nantes ,15,12,Dennis Appiah,D. Appiah,09/06/92,Déf.,36631
Nantes ,15,21,Jean-Charles Castelletto,J. Castelletto,26/01/95,Déf.,48700
Nantes ,15,24,Sébastien Corchia,S. Corchia,01/11/90,Déf.,32012
Nantes ,15,2,Da Silva Fabio,D. Fabio,09/07/90,Déf.,29842
Nantes ,15,3,Andrei Girotto,A. Girotto,17/02/92,Déf.,64846
Nantes ,15,4,Nicolas Pallois,N. Pallois,19/09/87,Déf.,255000000000000000000025391
Nantes ,15,33,Abdoulaye Sylla,A. Sylla,10/04/00,Déf.,75109
Nantes ,15,14,Charles Traoré,C. Traoré,01/01/92,Déf.,58852
Nantes ,15,,Robin Voisine,R. Voisine,07/04/02,Déf.,90816
Nantes ,15,,Mohamed Achi,M. Achi,,Mil.,86742
Nantes ,15,10,Ludovic Blas,L. Blas,31/12/97,Mil.,57197
Nantes ,15,5,Pedro Chirivella,P. Chirivella,23/05/97,Mil.,58069
Nantes ,15,11,Marcus Coco,M. Coco,24/06/96,Mil.,55826
Nantes ,15,8,Wylan Cyprien,W. Cyprien,28/01/95,Mil.,46366
Nantes ,15,,Abdoulaye Dabo,A. Dabo,04/03/01,Mil.,69777
Nantes ,15,,Lohann Doucet,L. Doucet,17/09/02,Mil.,90822
Nantes ,15,,Santiago Eneme,S. Eneme,29/09/00,Mil.,89513
Nantes ,15,17,Anthony Limbombe,A. Limbombe,15/07/94,Mil.,39440
Nantes ,15,,Yannis M'Bemba,Y. M'Bemba,01/07/01,Mil.,84102
