club,club_id,number,name,short_name,DoB,poste,lequipe_id,sofifa_id
Angers ,374,16.0,Anthony Mandrea,A. Mandrea,1996-12-25,Gar.,50523,220833
Angers ,374,30.0,Danijel Petkovic,D. Petkovic,1993-05-25,Gar.,53178,240212
Angers ,374,25.0,Abdoulaye Bamba,A. Bamba,1990-04-25,Déf.,34789,199313
Angers ,374,20.0,Kevin Boma,K. Boma,2002-11-20,Déf.,77429,258457
Angers ,374,,Elhadji Pape Diaw,E. Diaw,1994-12-31,Déf.,71974,
Angers ,374,3.0,Souleyman Doumbia,S. Doumbia,1996-09-24,Déf.,53361,236454
Angers ,374,,Ismaël Dramé,I. Dramé,2001-05-27,Déf.,76808,
Angers ,374,6.0,Enzo Ebosse,E. Ebosse,1999-11-03,Déf.,58990,241007
Angers ,374,29.0,Vincent Manceau,V. Manceau,1989-10-07,Déf.,29773,189946
Angers ,374,2.0,Batista Mendy,B. Mendy,2000-12-01,Déf.,70155,244114
Angers ,374,,Blondon Meyapya,B. Meyapya,2001-10-02,Déf.,89927,
Angers ,374,24.0,Romain Thomas,R. Thomas,1988-12-06,Déf.,27254,184190
Angers ,374,8.0,Ismaël Traoré,I. Traoré,1986-08-18,Déf.,26892,184873
Angers ,374,,Kevin Bemanga,K. Bemanga,1998-04-20,Mil.,82632,
Angers ,374,23.0,Nabil Bentaleb,N. Bentaleb,1994-11-24,Mil.,50329,213296
Angers ,374,7.0,Sofiane Boufal,S. Boufal,1993-09-17,Mil.,46994,211381
Angers ,374,14.0,Billal Brahimi,B. Brahimi,2000-03-14,Mil.,76160,257975
Angers ,374,11.0,Jimmy Cabot,J. Cabot,1994-04-18,Mil.,48524,212947
Angers ,374,15.0,Pierrick Capelle,P. Capelle,1987-04-15,Mil.,37125,209781
Angers ,374,21.0,Mohamed-Ali Cho,M. Cho,2004-01-19,Mil.,82985,256476
Angers ,374,,Matteo Corduan,M. Corduan,2002-06-19,Mil.,94182,
Angers ,374,10.0,Angelo Fulgini,A. Fulgini,1996-08-20,Mil.,55834,226789
Angers ,374,,Anthony Gomez Mancini,A. Gomez Mancini,2001-06-04,Mil.,70752,245994
Angers ,374,,Walim Lgharbi,W. Lgharbi,2003-01-25,Mil.,88830,263330
Angers ,374,5.0,Thomas Mangani,T. Mangani,1987-04-29,Mil.,24586,178160
Angers ,374,12.0,Zinédine Ould Khaled,Z. Ould Khaled,2000-01-14,Mil.,76516,251912
Angers ,374,18.0,Azzedine Ounahi,A. Ounahi,2000-04-19,Mil.,76654,255125
Angers ,374,27.0,Mathias Pereira Lage,M. Pereira Lage,1996-11-30,Mil.,58974,233061
Angers ,374,26.0,Waniss Taïbi,W. Taïbi,2002-07-03,Mil.,76804,251855
Angers ,374,19.0,Stéphane Bahoken,S. Bahoken,1992-05-28,Att.,41347,203736
Angers ,374,17.0,Noah Fatar,N. Fatar,2002-02-15,Att.,76757,257171
Angers ,374,,Jason Mbock,J. Mbock,1999-01-11,Att.,66205,
Angers ,374,,Guede Noah Nadje,G. Nadje,2003-12-11,Att.,89928,263572
Angers ,374,9.0,Casimir Rodrigue Ninga,C. Ninga,1993-05-17,Att.,57815,231041
Nantes ,15,,Lucas Bonelli,L. Bonelli,2003-02-14,Gar.,91225,263441
Nantes ,15,16.0,Rémy Descamps,R. Descamps,1996-06-25,Gar.,50741,234371
Nantes ,15,1.0,Alban Lafont,A. Lafont,1999-01-23,Gar.,58416,231691
Nantes ,15,30.0,Denis Petric,D. Petric,1988-05-24,Gar.,26215,184781
Nantes ,15,12.0,Dennis Appiah,D. Appiah,1992-09-06,Déf.,36631,199191
Nantes ,15,21.0,Jean-Charles Castelletto,J. Castelletto,1995-01-26,Déf.,48700,213868
Nantes ,15,24.0,Sébastien Corchia,S. Corchia,1990-01-11,Déf.,32012,191210
