Date,Time,HomeTeam,AwayTeam,HomeTeam_id,AwayTeam_id,FTHG,FTAG,HY,AY,HR,AR
06/08/2021,20:00,Monaco,Nantes,25,15,1,1,0,0,0,0
07/08/2021,16:00,Lyon,Brest,22,267,1,1,1,1,0,0
07/08/2021,20:00,Troyes,Paris SG,30,26,1,2,1,4,0,0
08/08/2021,12:00,Rennes,Lens,14,9,1,1,0,2,0,0
08/08/2021,14:00,Bordeaux,Clermont,18,242,0,2,1,0,0,0
08/08/2021,14:00,Nice,Reims,46,211,0,0,1,1,0,0
08/08/2021,14:00,St Etienne,Lorient,38,11,1,1,2,3,0,0
08/08/2021,14:00,Strasbourg,Angers,13,374,0,2,2,3,0,0
08/08/2021,16:00,Metz,Lille,20,43,3,3,1,2,1,0
08/08/2021,19:45,Montpellier,Marseille,17,6,2,3,0,1,0,0
13/08/2021,20:00,Lorient,Monaco,11,25,1,0,3,2,0,0
14/08/2021,16:00,Lille,Nice,43,46,0,4,3,1,0,0
14/08/2021,20:00,Paris SG,Strasbourg,26,13,4,2,1,4,0,1
15/08/2021,12:00,Angers,Lyon,374,22,3,0,1,5,0,1
15/08/2021,14:00,Brest,Rennes,267,14,1,1,2,3,0,0
15/08/2021,14:00,Clermont,Troyes,242,30,2,0,1,3,0,1
15/08/2021,14:00,Nantes,Metz,15,20,2,0,2,0,0,0
15/08/2021,14:00,Reims,Montpellier,211,17,3,3,2,1,0,0
15/08/2021,16:00,Lens,St Etienne,9,38,2,2,1,6,0,0
15/08/2021,19:45,Marseille,Bordeaux,6,18,2,2,2,2,1,0
20/08/2021,20:00,Brest,Paris SG,267,26,2,4,1,2,0,0
21/08/2021,16:00,Monaco,Lens,25,9,0,2,1,1,1,1
21/08/2021,20:00,St Etienne,Lille,38,43,1,1,1,3,0,0
22/08/2021,12:00,Lyon,Clermont,22,242,3,3,2,2,0,0
22/08/2021,14:00,Bordeaux,Angers,18,374,1,1,2,0,0,0
22/08/2021,14:00,Metz,Reims,20,211,1,1,4,2,1,1
22/08/2021,14:00,Montpellier,Lorient,17,11,3,1,0,6,0,2
22/08/2021,14:00,Strasbourg,Troyes,13,30,1,1,3,1,0,0
22/08/2021,16:00,Rennes,Nantes,14,15,1,0,2,2,0,0
27/08/2021,20:00,Nantes,Lyon,15,22,0,1,2,2,0,1
28/08/2021,16:00,Nice,Bordeaux,46,18,4,0,3,2,0,0
28/08/2021,20:00,Marseille,St Etienne,6,38,3,1,1,3,0,0
29/08/2021,12:00,Troyes,Monaco,30,25,1,2,1,2,0,0
29/08/2021,14:00,Angers,Rennes,374,14,2,0,1,2,0,1
29/08/2021,14:00,Clermont,Metz,242,20,2,2,1,2,0,0
29/08/2021,14:00,Lens,Lorient,9,11,2,2,2,4,0,0
29/08/2021,14:00,Strasbourg,Brest,13,267,3,1,1,1,0,0
29/08/2021,16:00,Lille,Montpellier,43,17,2,1,3,7,0,1
29/08/2021,19:45,Reims,Paris SG,211,26,0,2,1,3,0,0
10/09/2021,20:00,Lorient,Lille,11,43,2,1,2,2,0,0
11/09/2021,16:00,Paris SG,Clermont,26,242,4,0,0,1,0,0
11/09/2021,20:00,Monaco,Marseille,25,6,0,2,4,1,0,0
12/09/2021,12:00,Montpellier,St Etienne,17,38,2,0,1,4,0,0
12/09/2021,14:00,Bordeaux,Lens,18,9,2,3,3,2,0,0
12/09/2021,14:00,Brest,Angers,267,374,1,1,3,2,1,0
12/09/2021,14:00,Metz,Troyes,20,30,0,2,2,1,0,0
12/09/2021,14:00,Rennes,Reims,14,211,0,2,1,2,0,0
12/09/2021,16:00,Nantes,Nice,15,46,0,2,2,3,0,0
12/09/2021,19:45,Lyon,Strasbourg,22,13,3,1,2,1,0,0
17/09/2021,20:00,Strasbourg,Metz,13,20,3,0,2,4,0,0
18/09/2021,16:00,Lens,Lille,9,43,1,0,2,2,0,0
18/09/2021,20:00,St Etienne,Bordeaux,38,18,1,2,1,4,0,0
19/09/2021,12:00,Nice,Monaco,46,25,2,2,2,3,0,0
19/09/2021,14:00,Angers,Nantes,374,15,1,4,2,2,0,0
19/09/2021,14:00,Clermont,Brest,242,267,1,1,1,1,1,0
19/09/2021,14:00,Reims,Lorient,211,11,0,0,2,3,0,0
19/09/2021,14:00,Troyes,Montpellier,30,17,1,1,4,4,0,1
19/09/2021,16:00,Marseille,Rennes,6,14,2,0,0,2,0,0
19/09/2021,19:45,Paris SG,Lyon,26,22,2,1,3,1,0,0
22/09/2021,18:00,Lille,Reims,43,211,2,1,2,1,0,0
22/09/2021,18:00,Monaco,St Etienne,25,38,3,1,1,1,0,1
22/09/2021,18:00,Montpellier,Bordeaux,17,18,3,3,0,2,0,0
22/09/2021,18:00,Nantes,Brest,15,267,3,1,1,2,0,0
22/09/2021,18:00,Rennes,Clermont,14,242,6,0,2,1,0,0
22/09/2021,20:00,Angers,Marseille,374,6,0,0,1,3,0,0
