journee,game_id,club_id,number,name,field_pos
22,515694,22,1,A. Lopes,left:calc( 49.95% - 4px);top:1%;z-index:97;
22,515694,22,21,D. Da Silva,left:calc( 22.121739130435% - 4px);top:11.385806451613%;z-index:87;
22,515694,22,14,L. Dubois,left:calc( 12.3% - 4px);top:19.727741935484%;z-index:79;
22,515694,22,12,Henrique,left:calc( 87.6% - 4px);top:19.727741935484%;z-index:79;
22,515694,22,4,C. Lukeba,left:calc( 77.778260869565% - 4px);top:11.385806451613%;z-index:87;
22,515694,22,8,H. Aouar,left:calc( 77.778260869565% - 4px);top:31.823548387097%;z-index:67;
22,515694,22,25,M. Caqueret,left:calc( 36.035869565217% - 4px);top:22.647419354839%;z-index:76;
22,515694,22,23,T. Mendes,left:calc( 49.95% - 4px);top:11.385806451613%;z-index:87;
22,515694,22,39,B. Guimaraes,left:calc( 62.227173913043% - 4px);top:22.647419354839%;z-index:76;
22,515694,22,10,L. Paqueta,left:calc( 22.121739130435% - 4px);top:31.823548387097%;z-index:67;
22,515694,22,9,M. Dembélé,left:calc( 49.95% - 4px);top:39.748387096774%;z-index:59;
22,515694,38,50,P. Bernardoni,left:calc( 50.05% - 4px);top:91.851304347826%;z-index:7;
22,515694,38,5,T. Kolodziejczak,left:calc( 50.05% - 4px);top:80.637391304348%;z-index:18;
22,515694,38,11,G. Silva,left:calc( 12.5% - 4px);top:77.618260869565%;z-index:21;
22,515694,38,3,M. Nadé,left:calc( 26.377173913043% - 4px);top:80.637391304348%;z-index:18;
22,515694,38,27,Y. Maçon,left:calc( 87.6% - 4px);top:77.618260869565%;z-index:21;
22,515694,38,33,A. Bakayoko,left:calc( 73.722826086957% - 4px);top:80.637391304348%;z-index:18;
22,515694,38,28,Z. Youssouf,left:calc( 22.295652173913% - 4px);top:66.404347826087%;z-index:32;
22,515694,38,8,M. Camara,left:calc( 77.804347826087% - 4px);top:66.404347826087%;z-index:32;
22,515694,38,17,A. Aouchiche,left:calc( 36.172826086957% - 4px);top:53.465217391304%;z-index:45;
22,515694,38,6,L. Gourna-Douath,left:calc( 50.05% - 4px);top:68.992173913043%;z-index:30;
22,515694,38,18,A. Nordin,left:calc( 62.294565217391% - 4px);top:53.465217391304%;z-index:45;
22,515693,9,1,W. Fariñez,left:calc( 49.95% - 4px);top:1%;z-index:97;
22,515693,9,24,J. Gradit,left:calc( 22.121739130435% - 4px);top:11.385806451613%;z-index:87;
22,515693,9,11,J. Clauss,left:calc( 12.3% - 4px);top:22.647419354839%;z-index:76;
22,515693,9,4,K. Danso,left:calc( 49.95% - 4px);top:11.385806451613%;z-index:87;
22,515693,9,14,F. Medina,left:calc( 77.778260869565% - 4px);top:11.385806451613%;z-index:87;
22,515693,9,10,G. Kakuta,left:calc( 12.3% - 4px);top:37.662903225806%;z-index:61;
22,515693,9,8,S. Fofana,left:calc( 62.227173913043% - 4px);top:25.15%;z-index:73;
22,515693,9,29,P. Frankowski,left:calc( 87.6% - 4px);top:22.647419354839%;z-index:76;
22,515693,9,28,C. Doucouré,left:calc( 36.035869565217% - 4px);top:25.15%;z-index:73;
22,515693,9,22,W. Saïd,left:calc( 87.6% - 4px);top:37.662903225806%;z-index:61;
22,515693,9,7,F. Sotoca,left:calc( 49.95% - 4px);top:39.748387096774%;z-index:59;
22,515693,6,16,P. Lopez,left:calc( 50.05% - 4px);top:91.851304347826%;z-index:7;
22,515693,6,15,D. Caleta-Car,left:calc( 36.172826086957% - 4px);top:80.637391304348%;z-index:18;
22,515693,6,2,W. Saliba,left:calc( 62.294565217391% - 4px);top:80.637391304348%;z-index:18;
22,515693,6,14,L. Peres,left:calc( 12.5% - 4px);top:80.637391304348%;z-index:18;
22,515693,6,21,V. Rongier,left:calc( 87.6% - 4px);top:80.637391304348%;z-index:18;
22,515693,6,4,B. Kamara,left:calc( 50.05% - 4px);top:72.011304347826%;z-index:26;
22,515693,6,6,M. Guendouzi,left:calc( 62.294565217391% - 4px);top:66.404347826087%;z-index:32;
22,515693,6,8,Gerson,left:calc( 36.172826086957% - 4px);top:66.404347826087%;z-index:32;
22,515693,6,10,D. Payet,left:calc( 50.05% - 4px);top:51.308695652174%;z-index:47;
22,515693,6,17,C. Ünder,left:calc( 87.6% - 4px);top:61.228695652174%;z-index:37;
22,515693,6,11,Luis Henrique,left:calc( 12.5% - 4px);top:61.228695652174%;z-index:37;
22,515698,26,1,K. Navas,left:calc( 49.95% - 4px);top:1%;z-index:97;
22,515698,26,4,S. Ramos,left:calc( 62.227173913043% - 4px);top:11.385806451613%;z-index:87;
22,515698,26,5,Marquinhos,left:calc( 36.035869565217% - 4px);top:11.385806451613%;z-index:87;
22,515698,26,24,T. Kehrer,left:calc( 12.3% - 4px);top:11.385806451613%;z-index:87;
22,515698,26,25,N. Mendes,left:calc( 87.6% - 4px);top:11.385806451613%;z-index:87;
22,515698,26,11,A. Di Maria,left:calc( 12.3% - 4px);top:37.662903225806%;z-index:61;
22,515698,26,15,D. Pereira,left:calc( 77.778260869565% - 4px);top:25.15%;z-index:73;
22,515698,26,6,M. Verratti,left:calc( 49.95% - 4px);top:22.647419354839%;z-index:76;
22,515698,26,8,L. Paredes,left:calc( 22.121739130435% - 4px);top:25.15%;z-index:73;
22,515698,26,9,M. Icardi,left:calc( 49.95% - 4px);top:39.748387096774%;z-index:59;
22,515698,26,7,K. Mbappé,left:calc( 87.6% - 4px);top:37.662903225806%;z-index:61;
22,515698,211,1,P. Rajkovic,left:calc( 50.05% - 4px);top:91.851304347826%;z-index:7;
22,515698,211,5,Y. Abdelhamid,left:calc( 26.377173913043% - 4px);top:80.637391304348%;z-index:18;
22,515698,211,32,T. Foket,left:calc( 87.6% - 4px);top:77.618260869565%;z-index:21;
22,515698,211,6,A. Gravillon,left:calc( 73.722826086957% - 4px);top:80.637391304348%;z-index:18;
22,515698,211,2,W. Faes,left:calc( 50.05% - 4px);top:80.637391304348%;z-index:18;
22,515698,211,4,M. Busi,left:calc( 12.5% - 4px);top:77.618260869565%;z-index:21;
22,515698,211,28,B. Locko,left:calc( 87.6% - 4px);top:61.228695652174%;z-index:37;
22,515698,211,21,A. Matusiwa,left:calc( 36.172826086957% - 4px);top:68.992173913043%;z-index:30;
22,515698,211,8,J. Cajuste,left:calc( 62.294565217391% - 4px);top:68.992173913043%;z-index:30;
22,515698,211,11,N. Mbuku,left:calc( 50.05% - 4px);top:51.308695652174%;z-index:47;
22,515698,211,22,H. Ekitike,left:calc( 12.5% - 4px);top:61.228695652174%;z-index:37;
22,515691,267,40,M. Bizot,left:calc( 49.95% - 4px);top:1%;z-index:97;
22,515691,267,5,B. Chardonnet,left:calc( 36.035869565217% - 4px);top:11.385806451613%;z-index:87;
22,515691,267,2,J. Duverne,left:calc( 87.6% - 4px);top:11.385806451613%;z-index:87;
22,515691,267,18,R. Pierre-Gabriel,left:calc( 12.3% - 4px);top:11.385806451613%;z-index:87;
22,515691,267,3,L. Brassier,left:calc( 62.227173913043% - 4px);top:11.385806451613%;z-index:87;
22,515691,267,27,H. Magnetti,left:calc( 36.035869565217% - 4px);top:22.647419354839%;z-index:76;
22,515691,267,21,R. Faivre,left:calc( 87.6% - 4px);top:25.15%;z-index:73;
22,515691,267,10,L. Agoumé,left:calc( 62.227173913043% - 4px);top:22.647419354839%;z-index:76;
22,515691,267,9,F. Honorat,left:calc( 12.3% - 4px);top:25.15%;z-index:73;
22,515691,267,15,S. Mounié,left:calc( 22.121739130435% - 4px);top:37.662903225806%;z-index:61;
22,515691,267,26,J. Le Douaron,left:calc( 77.778260869565% - 4px);top:37.662903225806%;z-index:61;
22,515691,43,1,I. Grbic,left:calc( 50.05% - 4px);top:91.851304347826%;z-index:7;
22,515691,43,6,J. Fonte,left:calc( 62.294565217391% - 4px);top:80.637391304348%;z-index:18;
22,515691,43,28,R. Mandava,left:calc( 12.5% - 4px);top:80.637391304348%;z-index:18;
22,515691,43,4,S. Botman,left:calc( 36.172826086957% - 4px);top:80.637391304348%;z-index:18;
22,515691,43,3,T. Djalo,left:calc( 87.6% - 4px);top:80.637391304348%;z-index:18;
