Lieu,Nom,Score,Description,Lien,lat,lon
Mont Saint Michel,CAMPING AUX POMMIERS - TOHAPI,8.4,"Set in Le Mont Saint Michel in the Lower Normandy region, CAMPING AUX POMMIERS - TOHAPI offers accommodation with free private parking. ",https://www.booking.com/hotel/fr/camping-aux-pommiers-tohapi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.613555,1.5101
Mont Saint Michel,Hôtel la Croix Blanche,7.6,"Situated in the heart of Mont Saint Michel medieval Village, Hôtel La Croix Blanche offers a terrace and a bar. The rooms at Hôtel La Croix Blanche have a flat-screen, satellite TV and a minibar. ",https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.63573406,1.50986105
Mont Saint Michel,Hôtel Vert,8.1,"Hotel Vert offers pastel-coloured rooms with a private bathroom, TV and free Wi-Fi access. It is located 2 km from the Mont Saint-Michel tidal island on the Normandy Coast. ",https://www.booking.com/hotel/fr/vert.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=0&hapos=0&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.61470049,1.50961697
Mont Saint Michel,Le Relais Saint Michel,7.8,Le Relais Saint Michel is an hotel facing the bay of Mont Saint-Michel. ,https://www.booking.com/hotel/fr/le-relais-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.61758727,1.51039615
Mont Saint Michel,La Vieille Auberge,7.4,"La Vieille Auberge is located in the medieval village of Le Mont Saint Michel, just a short walk from the famous Mont Saint-Michel Abbey. ",https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.636063,1.511457
Mont Saint Michel,Le Mouton Blanc,7.2,"At the foot of the abbey, the Mouton Blanc Hotel, welcomes you in its historic 14th century location. Le Mouton Blanc provides comfortable rooms with a simple yet cosy decoration. ",https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.63602298,1.50989592
Mont Saint Michel,Auberge Saint Pierre,8.1,Auberge Saint Pierre is a 14th-century half-timbered house located on Mont St Michel tidal island. It combines the period charm of exposed beams with modern comforts including TV and free Wi-Fi...,https://www.booking.com/hotel/fr/auberge-saint-pierre.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.63568798,1.50988251
Mont Saint Michel,Hotel Gabriel,8.1,Hotel Gabriel is located 1.6 Km from Mont Saint-Michel. It offers free Wi-Fi access and en suite rooms just a 25-minute walk from the walls of the old city. ,https://www.booking.com/hotel/fr/hotel-gabriel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.61538141,1.51070997
Mont Saint Michel,Les Terrasses Poulard,7.3,"Composed of 2 different buildings, Les Terrasses Poulard is a historical property in the heart of Mont Saint-Michel and offers views of the bay, the village and the street. ",https://www.booking.com/hotel/fr/les-terrasses-poulard.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.63534943,1.51037872
Mont Saint Michel,Le Saint Aubert,7.3,"Set amid lush greenery, just 2 km from the Mont Saint-Michel, the hotel welcomes you in a warm and friendly atmosphere. ",https://www.booking.com/hotel/fr/hotel-saint-aubert.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.61293783,1.51010513
