Places,latitude,longitude,jour,date,Tmin,Tmax,Humidity,Weather,clouds,WeatherCode,icone
Mont Saint Michel,48.6355232,-1.5102571000000002,0.0,2022-02-10 12:00:00,4.340000000000032,9.060000000000002,84.0,Rain (light rain),99.0,500.0,http://openweathermap.org/img/wn/10d.png
St Malo,48.649518,-2.0260409,0.0,2022-02-10 12:00:00,6.900000000000034,8.870000000000005,93.0,Rain (light rain),100.0,500.0,http://openweathermap.org/img/wn/10d.png
Bayeux,49.2764624,-0.7024738,0.0,2022-02-10 12:00:00,4.050000000000011,7.910000000000025,93.0,Rain (light rain),100.0,500.0,http://openweathermap.org/img/wn/10d.png
Le Havre,49.4938975,0.1079732,0.0,2022-02-10 12:00:00,6.0,8.590000000000032,96.0,Rain (light rain),100.0,500.0,http://openweathermap.org/img/wn/10d.png
Rouen,49.4404591,1.0939658,0.0,2022-02-10 12:00:00,3.82000000000005,8.150000000000034,87.0,Rain (light rain),100.0,500.0,http://openweathermap.org/img/wn/10d.png
Paris,48.8566969,2.3514616000000004,0.0,2022-02-10 12:00:00,4.920000000000016,9.410000000000025,80.0,Rain (light rain),100.0,500.0,http://openweathermap.org/img/wn/10d.png
Amiens,49.8941708,2.2956951,0.0,2022-02-10 12:00:00,4.090000000000032,7.7900000000000205,88.0,Rain (light rain),100.0,500.0,http://openweathermap.org/img/wn/10d.png
Lille,50.6365654,3.0635282000000004,0.0,2022-02-10 12:00:00,4.960000000000036,8.220000000000027,85.0,Rain (moderate rain),100.0,501.0,http://openweathermap.org/img/wn/10d.png
Strasbourg,48.584614,7.750712700000001,0.0,2022-02-10 11:00:00,3.75,10.090000000000032,61.0,Clouds (overcast clouds),89.0,804.0,http://openweathermap.org/img/wn/04d.png
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,0.0,2022-02-10 11:00:00,1.6100000000000136,7.460000000000036,65.0,Clouds (overcast clouds),95.0,804.0,http://openweathermap.org/img/wn/04d.png
Colmar,48.07775170000001,7.3579641,0.0,2022-02-10 11:00:00,4.730000000000018,10.840000000000032,65.0,Clouds (overcast clouds),96.0,804.0,http://openweathermap.org/img/wn/04d.png
Eguisheim,48.0447968,7.3079618,0.0,2022-02-10 11:00:00,4.910000000000025,10.810000000000002,65.0,Clouds (overcast clouds),97.0,804.0,http://openweathermap.org/img/wn/04d.png
Besancon,47.2380222,6.0243622000000006,0.0,2022-02-10 11:00:00,3.2600000000000477,10.25,34.0,Rain (light rain),5.0,500.0,http://openweathermap.org/img/wn/10d.png
Dijon,47.3215806,5.0414701,0.0,2022-02-10 11:00:00,2.7600000000000477,10.310000000000002,71.0,Rain (moderate rain),82.0,501.0,http://openweathermap.org/img/wn/10d.png
Annecy,45.8992348,6.1288847,0.0,2022-02-10 11:00:00,2.830000000000041,11.230000000000018,51.0,Clear (clear sky),6.0,800.0,http://openweathermap.org/img/wn/01d.png
Grenoble,45.1875602,5.7357819,0.0,2022-02-10 11:00:00,5.3799999999999955,13.760000000000048,55.0,Clear (clear sky),5.0,800.0,http://openweathermap.org/img/wn/01d.png
Lyon,45.75781370000001,4.8320114,0.0,2022-02-10 11:00:00,4.230000000000018,13.32000000000005,60.0,Clear (clear sky),1.0,800.0,http://openweathermap.org/img/wn/01d.png
Gorges du Verdon,43.7497,6.32859,0.0,2022-02-10 11:00:00,3.160000000000025,11.379999999999995,38.0,Clear (clear sky),0.0,800.0,http://openweathermap.org/img/wn/01d.png
Bormes les Mimosas,43.1506968,6.3419285000000025,0.0,2022-02-10 11:00:00,8.590000000000032,14.680000000000007,64.0,Clear (clear sky),0.0,800.0,http://openweathermap.org/img/wn/01d.png
Cassis,43.2140359,5.5396318,0.0,2022-02-10 11:00:00,10.57000000000005,14.140000000000043,73.0,Clouds (scattered clouds),38.0,802.0,http://openweathermap.org/img/wn/03d.png
Marseille,43.2961743,5.3699525,0.0,2022-02-10 11:00:00,10.980000000000018,14.060000000000002,74.0,Clouds (broken clouds),68.0,803.0,http://openweathermap.org/img/wn/04d.png
Aix en Provence,43.5298424,5.4474738,0.0,2022-02-10 11:00:00,6.770000000000039,13.189999999999998,68.0,Clouds (scattered clouds),50.0,802.0,http://openweathermap.org/img/wn/03d.png
Avignon,43.9492493,4.8059012,0.0,2022-02-10 11:00:00,6.060000000000002,14.520000000000039,64.0,Clouds (broken clouds),60.0,803.0,http://openweathermap.org/img/wn/04d.png
Uzes,44.0121279,4.4196718,0.0,2022-02-10 11:00:00,4.5,14.28000000000003,58.0,Clear (clear sky),0.0,800.0,http://openweathermap.org/img/wn/01d.png
Nimes,43.8374249,4.3600687,0.0,2022-02-10 11:00:00,5.810000000000002,14.53000000000003,63.0,Clouds (broken clouds),60.0,803.0,http://openweathermap.org/img/wn/04d.png
Aigues Mortes,43.5658225,4.1912837,0.0,2022-02-10 11:00:00,7.650000000000034,13.32000000000005,74.0,Clouds (broken clouds),80.0,803.0,http://openweathermap.org/img/wn/04d.png
Saintes Maries de la mer,43.4522771,4.4287172,0.0,2022-02-10 11:00:00,8.950000000000045,14.610000000000014,72.0,Clear (clear sky),0.0,800.0,http://openweathermap.org/img/wn/01d.png
Collioure,42.52505,3.0831554,0.0,2022-02-10 12:00:00,7.4500000000000455,14.450000000000045,58.0,Clear (clear sky),2.0,800.0,http://openweathermap.org/img/wn/01d.png
Carcassonne,43.21303579999999,2.3491069,0.0,2022-02-10 12:00:00,5.680000000000007,15.710000000000036,56.0,Clear (clear sky),0.0,800.0,http://openweathermap.org/img/wn/01d.png
Ariege,42.9455368,1.4065544156065486,0.0,2022-02-10 12:00:00,1.170000000000016,10.439999999999998,27.0,Clear (clear sky),1.0,800.0,http://openweathermap.org/img/wn/01d.png
Toulouse,43.6044622,1.4442469,0.0,2022-02-10 12:00:00,4.960000000000036,15.170000000000016,62.0,Clouds (few clouds),20.0,801.0,http://openweathermap.org/img/wn/02d.png
